Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENBLAS,0,3584,1024,2560,223.36,-0.116793
OPENBLAS,0,3584,1024,3072,288.696,-10.3891
OPENBLAS,0,3584,1024,3584,316.066,0.17448
OPENBLAS,0,3584,1024,4096,370.471,-8.7595
OPENBLAS,0,3584,1536,512,71.4463,0.104443
OPENBLAS,0,3584,1536,1024,143.207,0.239069
OPENBLAS,0,3584,1536,1536,212.378,0.054004
OPENBLAS,0,3584,1536,2048,277.328,-8.29347
OPENBLAS,0,3584,1536,2560,346.383,0.061984
OPENBLAS,0,3584,1536,3072,401.55,7.38102
OPENBLAS,0,3584,1536,3584,470.506,2.42567
OPENBLAS,0,3584,1536,4096,469.294,4.30698
OPENBLAS,0,3584,2048,512,88.8054,-1.31836
OPENBLAS,0,3584,2048,1024,174.764,1.65708
OPENBLAS,0,3584,2048,1536,231.43,0.92168
OPENBLAS,0,3584,2048,2048,344.012,0.923126
OPENBLAS,0,3584,2048,2560,440.047,-0.277126
OPENBLAS,0,3584,2048,3072,519.134,3.79567
OPENBLAS,0,3584,2048,3584,591.047,-6.19644
OPENBLAS,0,3584,2048,4096,658.215,-18.8793
OPENBLAS,0,3584,2560,512,112.786,0.35302
OPENBLAS,0,3584,2560,1024,219.468,1.107
OPENBLAS,0,3584,2560,1536,330.074,-3.82302
OPENBLAS,0,3584,2560,2048,434.542,-7.54163
OPENBLAS,0,3584,2560,2560,541.688,-5.19661
OPENBLAS,0,3584,2560,3072,649.076,-7.99002
OPENBLAS,0,3584,2560,3584,703.757,18.1705
OPENBLAS,0,3584,2560,4096,834.138,21.8749
OPENBLAS,0,3584,3072,512,133.027,-0.422004
OPENBLAS,0,3584,3072,1024,263.289,-2.94706
OPENBLAS,0,3584,3072,1536,391.466,-9.26754
OPENBLAS,0,3584,3072,2048,522.806,-4.4121
OPENBLAS,0,3584,3072,2560,630.376,-6.83408
OPENBLAS,0,3584,3072,3072,699.636,25.0167
OPENBLAS,0,3584,3072,3584,868.314,14.579
OPENBLAS,0,3584,3072,4096,1048.13,41.7902
OPENBLAS,0,3584,3584,512,152.171,2.56377
OPENBLAS,0,3584,3584,1024,298.587,-3.74326
OPENBLAS,0,3584,3584,1536,441.209,-0.986957
OPENBLAS,0,3584,3584,2048,587.304,-2.67378
OPENBLAS,0,3584,3584,2560,730.438,-2.30741
OPENBLAS,0,3584,3584,3072,905.639,-5.52094
OPENBLAS,0,3584,3584,3584,1039.68,-12.7439
OPENBLAS,0,3584,3584,4096,862.218,47.3658
OPENBLAS,0,3584,4096,512,156.937,2.0901
OPENBLAS,0,3584,4096,1024,349.51,-16.4579
OPENBLAS,0,3584,4096,1536,518.559,-8.66815
OPENBLAS,0,3584,4096,2048,686.906,-5.63577
OPENBLAS,0,3584,4096,2560,862.874,-31.6371
OPENBLAS,0,3584,4096,3072,960.214,14.8369
OPENBLAS,0,3584,4096,3584,1230.41,-82.2732
OPENBLAS,0,3584,4096,4096,1448.92,-12.1258
OPENBLAS,0,4096,512,512,27.0583,-0.230465
OPENBLAS,0,4096,512,1024,54.4206,-0.698247
OPENBLAS,0,4096,512,1536,79.8905,0.653813
OPENBLAS,0,4096,512,2048,105.763,0.768307
OPENBLAS,0,4096,512,2560,131.737,0.038379
OPENBLAS,0,4096,512,3072,158.541,-0.60654
OPENBLAS,0,4096,512,3584,171.678,9.20495
OPENBLAS,0,4096,512,4096,196.383,0.48995
OPENBLAS,0,4096,1024,512,48.9999,0.122185
OPENBLAS,0,4096,1024,1024,96.8475,-0.439349
OPENBLAS,0,4096,1024,1536,144.686,-0.236196
OPENBLAS,0,4096,1024,2048,212.368,-9.72999
OPENBLAS,0,4096,1024,2560,265.963,-0.413034
OPENBLAS,0,4096,1024,3072,320.682,-9.1481
OPENBLAS,0,4096,1024,3584,368.304,-2.90186
OPENBLAS,0,4096,1024,4096,416.818,-0.785295
OPENBLAS,0,4096,1536,512,79.1607,-0.588301
OPENBLAS,0,4096,1536,1024,156.014,-1.67391
OPENBLAS,0,4096,1536,1536,234.464,-2.4916
OPENBLAS,0,4096,1536,2048,290.807,-2.52648
OPENBLAS,0,4096,1536,2560,385.574,0.89135
OPENBLAS,0,4096,1536,3072,449.212,-11.448
OPENBLAS,0,4096,1536,3584,519.302,-13.0798
OPENBLAS,0,4096,1536,4096,592.347,1.47587
OPENBLAS,0,4096,2048,512,98.2444,0.990467
OPENBLAS,0,4096,2048,1024,197.667,-2.87764
OPENBLAS,0,4096,2048,1536,260.668,6.98223
OPENBLAS,0,4096,2048,2048,343.538,17.423
OPENBLAS,0,4096,2048,2560,438.785,-5.52452
OPENBLAS,0,4096,2048,3072,615.833,-10.5617
OPENBLAS,0,4096,2048,3584,689.169,-3.97715
OPENBLAS,0,4096,2048,4096,782.653,-2.19822
OPENBLAS,0,4096,2560,512,123.51,0.67189
OPENBLAS,0,4096,2560,1024,244.948,-1.00175
OPENBLAS,0,4096,2560,1536,365.49,-4.69628
OPENBLAS,0,4096,2560,2048,484.517,-0.851386
OPENBLAS,0,4096,2560,2560,522.063,3.17538
